bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
सोमं॑पिबत,पि॒ब॒त॒ सोम॑म्,सोमं॑पिबत,सोमं॑पिबत पि॒ब॒त॒ सोम॑म् सोमं॑पिबत ।,सोमं॑पिबतपि॒ब॒त॒सोम॑ं  सोमं॑पिबत
पि॒ब॒ता॒दि॒वः॒,दि॒वः॒ पि॒ब॒त॒,पि॒ब॒ता॒दि॒वः॒,पि॒ब॒ता॒दि॒वः॒ दि॒वः॒ पि॒ब॒त॒ पि॒ब॒ता॒दि॒वः॒ ।,पि॒ब॒ता॒दि॒वः॒दि॒वः॒पि॒ब॒त॒पि॒ब॒ता॒दि॒वः॒
दि॒वो॒न॒रः॒,न॒रः॒ दि॒वः॒,दि॒वो॒न॒रः॒,दि॒वो॒न॒रः॒ न॒रः॒ दि॒वः॒ दि॒वो॒न॒रः॒ ।,दि॒वो॒न॒रः॒न॒रः॒दि॒वः॒दि॒वो॒न॒रः॒
न॒र॒इति॑नरःb॥२b॥,,,न॒र॒इति॑नरः॥२॥ ,न॒र॒इति॑नरः
अ॒मेव॑नः,नः॒ अ॒माऽइ॑व,अ॒मेव॑नः,अ॒मेव॑नः नः॒ अ॒माऽइ॑व अ॒मेव॑नः ।,अ॒मेव॑नो नः॒अ॒माऽइ॑वा॒मेव॑नः
अ॒मेवेत्य॒माbऽइ॑व,,,अ॒मेवेत्य॒माऽइ॑व ।,अ॒मेवेत्य॒माऽइ॑व
न॒स्सु॒ह॒वाः॒,सु॒ऽह॒वाः॒ नः॒,न॒स्सु॒ह॒वाः॒,न॒स्सु॒ह॒वाः॒ सु॒ऽह॒वाः॒ नः॒ न॒स्सु॒ह॒वाः॒ ।,न॒स्सु॒ह॒वाः॒सु॒ऽह॒वाः॒नः॒न॒स्सु॒ह॒वाः॒
सु॒ह॒वा॒आहि,हि आ सु॒ऽह॒वाः॒,सु॒ह॒वा॒आहि,सु॒ह॒वा॒आहि हि आ सु॒ऽह॒वाः॒ सु॒ह॒वा॒आहि ।,सु॒ह॒वा॒आहिह्यासु॒ऽह॒वाः॒सु॒ह॒वा॒आहि
bसु॒ह॒वा॒इति॑सुहवा,,,सु॒ह॒वा॒इति॑सुहवा ।,सु॒ह॒वा॒इति॑सुहवा
आहिb,,,आहि ।,आहि
हिगन्त॑न,गन्त॑न हि,हिगन्त॑न,हिगन्त॑न गन्त॑न हि हिगन्त॑न ।,हिगन्त॑नगन्त॑नहिहिगन्त॑न
गन्त॑न॒नि,नि गन्त॑न,गन्त॑न॒नि,गन्त॑न॒नि नि गन्त॑न गन्त॑न॒नि ।,गन्त॑न॒निनिगन्त॑नगन्त॑न॒नि
निब॒र्हिषि॑,ब॒र्हिषि॑ नि,निब॒र्हिषि॑,निब॒र्हिषि॑ ब॒र्हिषि॑ नि निब॒र्हिषि॑ ।,निब॒र्हिषि॑ब॒र्हिषि॑निनिब॒र्हिषि॑
ब॒र्हिषि॑सदतन,स॒द॒त॒न॒ ब॒र्हिषि॑,ब॒र्हिषि॑सदतन,ब॒र्हिषि॑सदतन स॒द॒त॒न॒ ब॒र्हिषि॑ ब॒र्हिषि॑सदतन ।,ब॒र्हिषि॑सदतनस॒द॒त॒न॒ब॒र्हिषि॑ब॒र्हिषि॑सदतन
स॒द॒त॒ना॒रणि॑ष्टन,रणि॑ष्टन स॒द॒त॒न॒,स॒द॒त॒ना॒रणि॑ष्टन,स॒द॒त॒ना॒रणि॑ष्टन रणि॑ष्टन स॒द॒त॒न॒ स॒द॒त॒ना॒रणि॑ष्टन ।,स॒द॒त॒ना॒रणि॑ष्टनरणि॑ष्टनस॒द॒त॒न॒स॒द॒त॒ना॒रणि॑ष्टन
रणि॑ष्ट॒नेति॒रणि॑ष्टनb॥,,,रणि॑ष्ट॒नेति॒रणि॑ष्टन॥ ,रणि॑ष्ट॒नेति॒रणि॑ष्टन
अथा॑मन्दस्व,म॒न्द॒स्व॒ अथ॑,अथा॑मन्दस्व,अथा॑मन्दस्व म॒न्द॒स्व॒ अथ॑ अथा॑मन्दस्व ।,अथा॑मन्दस्वम॒न्द॒स्व॒अथ॑अथा॑मन्दस्व
म॒न्द॒स्व॒जु॒जु॒षा॒णः,जु॒जु॒षा॒णः म॒न्द॒स्व॒,म॒न्द॒स्व॒जु॒जु॒षा॒णः,म॒न्द॒स्व॒जु॒जु॒षा॒णः जु॒जु॒षा॒णः म॒न्द॒स्व॒ म॒न्द॒स्व॒जु॒जु॒षा॒णः ।,म॒न्द॒स्व॒जु॒जु॒षा॒णो जु॒जु॒षा॒णो म॒न्द॒स्व॒म॒न्द॒स्व॒जु॒जु॒षा॒णः
जु॒जु॒षा॒णोअन्ध॑सः,अन्ध॑सः जु॒जु॒षा॒णः,जु॒जु॒षा॒णोअन्ध॑सः,जु॒जु॒षा॒णोअन्ध॑सः अन्ध॑सः जु॒जु॒षा॒णः जु॒जु॒षा॒णोअन्ध॑सः ।,जु॒जु॒षा॒णोअन्ध॑सोऽन्ध॑सो जु॒जु॒षा॒णो जु॒जु॒षा॒णोअन्ध॑सः
अन्ध॑स॒स्त्‍वष्टः॑,त्वष्टः॑ अन्ध॑सः,अन्ध॑स॒स्त्‍वष्टः॑,अन्ध॑स॒स्त्‍वष्टः॑ त्वष्टः॑ अन्ध॑सः अन्ध॑स॒स्त्‍वष्टः॑ ।,अन्ध॑स॒स्त्‍वष्टः॑त्वष्टः॑अन्ध॑सोऽन्ध॑स॒स्त्‍वष्टः॑
त्‍वष्ट॑र्दे॒वेभिः॑,दे॒वेभिः॑ त्वष्टः॑,त्‍वष्ट॑र्दे॒वेभिः॑,त्‍वष्ट॑र्दे॒वेभिः॑ दे॒वेभिः॑ त्वष्टः॑ त्‍वष्ट॑र्दे॒वेभिः॑ ।,त्‍वष्ट॑र्दे॒वेभिः॑दे॒वेभिः॑त्वष्टः॑त्‍वष्ट॑र्दे॒वेभिः॑
दे॒वेभि॒र्जनि॑भिः,जनि॑ऽभिः दे॒वेभिः॑,दे॒वेभि॒र्जनि॑भिः,दे॒वेभि॒र्जनि॑भिः जनि॑ऽभिः दे॒वेभिः॑ दे॒वेभि॒र्जनि॑भिः ।,दे॒वेभि॒र्जनि॑भिर्जनि॑ऽभिर्दे॒वेभिः॑दे॒वेभि॒र्जनि॑भिः
जनि॑भिस्सु॒मद्ग॑णः,सु॒मत्ऽग॑णः जनि॑ऽभिः,जनि॑भिस्सु॒मद्ग॑णः,जनि॑भिस्सु॒मद्ग॑णः सु॒मत्ऽग॑णः जनि॑ऽभिः जनि॑भिस्सु॒मद्ग॑णः ।,"जनि॑भिस्सु॒मद्ग॑णस्सु॒मत्ऽग॑णो जनि॑ऽभिर्जनि॑भिस्सु॒मद्ग॑णः, जनि॑भिस्सु॒मद्ग॑णः  सु॒मत्ऽग॑णो जनि॑ऽभिर्जनि॑भिस्सु॒मद्ग॑णः"
जनि॑भि॒रिति॒जनि॑bऽभिः,,,जनि॑भि॒रिति॒जनि॑ऽभिः ।,जनि॑भि॒रिति॒जनि॑ऽभिः
सु॒मद्ग॑ण॒इति॑सु॒मत्bऽग॑णःb॥३b॥,,,सु॒मद्ग॑ण॒इति॑सु॒मत्ऽग॑णः॥३॥ ,सु॒मद्ग॑ण॒इति॑सु॒मत्ऽग॑णः
आव॑क्षि,व॒क्षि॒ आ,आव॑क्षि,आव॑क्षि व॒क्षि॒ आ आव॑क्षि ।,आव॑क्षिव॒क्षि॒आव॑क्षि
व॒क्षि॒दे॒वान्,दे॒वान् व॒क्षि॒,व॒क्षि॒दे॒वान्,व॒क्षि॒दे॒वान् दे॒वान् व॒क्षि॒ व॒क्षि॒दे॒वान् ।,व॒क्षि॒दे॒वान्दे॒वान्व॒क्षि॒व॒क्षि॒दे॒वान्
दे॒वाँइ॒ह,इ॒ह दे॒वान्,दे॒वाँइ॒ह,दे॒वाँइ॒ह इ॒ह दे॒वान् दे॒वाँइ॒ह ।,दे॒वाँइ॒हे॒हदे॒वान्दे॒वाँइ॒ह
इ॒हवि॑प्र,वि॒प्र॒ इ॒ह,इ॒हवि॑प्र,इ॒हवि॑प्र वि॒प्र॒ इ॒ह इ॒हवि॑प्र ।,इ॒हवि॑प्रवि॒प्र॒इ॒हे॒हवि॑प्र
वि॒प्र॒यक्षि॑,यक्षि॑ वि॒प्र॒,वि॒प्र॒यक्षि॑,वि॒प्र॒यक्षि॑ यक्षि॑ वि॒प्र॒ वि॒प्र॒यक्षि॑ ।,वि॒प्र॒यक्षि॑यक्षि॑वि॒प्र॒वि॒प्र॒यक्षि॑
यक्षि॑च,च॒ यक्षि॑,यक्षि॑च,यक्षि॑च च॒ यक्षि॑ यक्षि॑च ।,यक्षि॑चच॒यक्षि॑यक्षि॑च
चो॒शन्,उ॒शन् च॒,चो॒शन्,चो॒शन् उ॒शन् च॒ चो॒शन् ।,"चो॒शन्नु॒शँश्च॒चो॒शन्, चो॒शन्नु॒शंश्च॒चो॒शन्"
उ॒शन्हो॑तः,हो॒तः॒ उ॒शन्,उ॒शन्हो॑तः,उ॒शन्हो॑तः हो॒तः॒ उ॒शन् उ॒शन्हो॑तः ।,उ॒शन्हो॑तो हो॒तः॒उ॒शन्नु॒शन्हो॑तः
हो॒त॒र्नि,नि हो॒तः॒,हो॒त॒र्नि,हो॒त॒र्नि नि हो॒तः॒ हो॒त॒र्नि ।,हो॒त॒र्निनिहो॒तः॒हो॒त॒र्नि
निष॑द,स॒द॒ नि,निष॑द,निष॑द स॒द॒ नि निष॑द ।,निष॑दस॒द॒निनिष॑द
स॒दा॒योनि॑षु,योनि॑षु स॒द॒,स॒दा॒योनि॑षु,स॒दा॒योनि॑षु योनि॑षु स॒द॒ स॒दा॒योनि॑षु ।,स॒दा॒योनि॑षुयोनि॑षुस॒द॒स॒दा॒योनि॑षु
योनि॑षुत्रि॒षु,त्रि॒षु योनि॑षु,योनि॑षुत्रि॒षु,योनि॑षुत्रि॒षु त्रि॒षु योनि॑षु योनि॑षुत्रि॒षु ।,योनि॑षुत्रि॒षुत्रि॒षुयोनि॑षुयोनि॑षुत्रि॒षु
त्रि॒ष्विति॑त्रि॒षुb॥,,,त्रि॒ष्विति॑त्रि॒षु॥ ,त्रि॒ष्विति॑त्रि॒षु
प्रति॑वीहि,वी॒हि॒ प्रति॑,प्रति॑वीहि,प्रति॑वीहि वी॒हि॒ प्रति॑ प्रति॑वीहि ।,प्रति॑वीहिवी॒हि॒प्रति॑प्रति॑वीहि
वी॒हि॒प्रस्थि॑तम्,प्रऽस्थि॑तम् वी॒हि॒,वी॒हि॒प्रस्थि॑तम्,वी॒हि॒प्रस्थि॑तम् प्रऽस्थि॑तम् वी॒हि॒ वी॒हि॒प्रस्थि॑तम् ।,"वी॒हि॒प्रस्थि॑तम्प्रऽस्थि॑तँवी॒हि॒वी॒हि॒प्रस्थि॑तम्, वी॒हि॒प्रस्थि॑तम्प्रऽस्थि॑तं  वी॒हि॒वी॒हि॒प्रस्थि॑तम्, वी॒हि॒प्रस्थि॑तं  प्रऽस्थि॑तँवी॒हि॒वी॒हि॒प्रस्थि॑तम्, वी॒हि॒प्रस्थि॑तं  प्रऽस्थि॑तं  वी॒हि॒वी॒हि॒प्रस्थि॑तम्"
प्रस्थि॑तंसो॒म्यम्,सो॒म्यम् प्रऽस्थि॑तम्,प्रस्थि॑तंसो॒म्यम्,प्रस्थि॑तंसो॒म्यम् सो॒म्यम् प्रऽस्थि॑तम् प्रस्थि॑तंसो॒म्यम् ।,"प्रस्थि॑तंसो॒म्यं  सो॒म्यम्प्रऽस्थि॑तम्प्रस्थि॑तंसो॒म्यम्, प्रस्थि॑तंसो॒म्यं  सो॒म्यम्प्रऽस्थि॑तं  प्रस्थि॑तंसो॒म्यम्, प्रस्थि॑तंसो॒म्यं  सो॒म्यं  प्रऽस्थि॑तम्प्रस्थि॑तंसो॒म्यम्, प्रस्थि॑तंसो॒म्यं  सो॒म्यं  प्रऽस्थि॑तं  प्रस्थि॑तंसो॒म्यम्"
प्रस्थि॑त॒मिति॒प्रbऽस्थि॑तम्,,,प्रस्थि॑त॒मिति॒प्रऽस्थि॑तम् ।,प्रस्थि॑त॒मिति॒प्रऽस्थि॑तम्
सो॒म्यंमधु॑,मधु॑ सो॒म्यम्,सो॒म्यंमधु॑,सो॒म्यंमधु॑ मधु॑ सो॒म्यम् सो॒म्यंमधु॑ ।,सो॒म्यंमधु॑मधु॑सो॒म्यं  सो॒म्यंमधु॑
मधु॒पिब॑,पिब॑ मधु॑,मधु॒पिब॑,मधु॒पिब॑ पिब॑ मधु॑ मधु॒पिब॑ ।,मधु॒पिब॑पिब॑मधु॑मधु॒पिब॑
पिबाग्नी॑ध्रात्,आग्नी॑ध्रात् पिब॑,पिबाग्नी॑ध्रात्,पिबाग्नी॑ध्रात् आग्नी॑ध्रात् पिब॑ पिबाग्नी॑ध्रात् ।,पिबाग्नी॑ध्रादाग्नी॑ध्रात्पिब॑पिबाग्नी॑ध्रात्
आग्नी॑ध्रा॒त्तव॑,तव॑ आग्नी॑ध्रात्,आग्नी॑ध्रा॒त्तव॑,आग्नी॑ध्रा॒त्तव॑ तव॑ आग्नी॑ध्रात् आग्नी॑ध्रा॒त्तव॑ ।,आग्नी॑ध्रा॒त्तव॑तव॑आग्नी॑ध्रादाग्नी॑ध्रा॒त्तव॑
तव॑भा॒गस्य॑,भा॒गस्य॑ तव॑,तव॑भा॒गस्य॑,तव॑भा॒गस्य॑ भा॒गस्य॑ तव॑ तव॑भा॒गस्य॑ ।,तव॑भा॒गस्य॑भा॒गस्य॑तव॑तव॑भा॒गस्य॑
भा॒गस्य॑तृप्णुहि,तृ॒प्णु॒हि॒ भा॒गस्य॑,भा॒गस्य॑तृप्णुहि,भा॒गस्य॑तृप्णुहि तृ॒प्णु॒हि॒ भा॒गस्य॑ भा॒गस्य॑तृप्णुहि ।,भा॒गस्य॑तृप्णुहितृ॒प्णु॒हि॒भा॒गस्य॑भा॒गस्य॑तृप्णुहि
तृ॒प्णु॒हीति॑तृप्णुहिb॥४b॥,,,तृ॒प्णु॒हीति॑तृप्णुहि॥४॥ ,तृ॒प्णु॒हीति॑तृप्णुहि
ए॒षस्यः,स्यः ए॒षः,ए॒षस्यः,ए॒षस्यः स्यः ए॒षः ए॒षस्यः ।,"ए॒षस्यस्स्य  ए॒ष  ए॒षस्यः, ए॒षस्यस्स्य  ए॒षये॒षस्यः, ए॒षस्यस्स्यये॒ष  ए॒षस्यः, ए॒षस्यस्स्यये॒षये॒षस्यः, ए॒षस्यः  स्य  ए॒ष  ए॒षस्यः, ए॒षस्यः  स्य  ए॒षये॒षस्यः, ए॒षस्यः  स्यये॒ष  ए॒षस्यः, ए॒षस्यः  स्यये॒षये॒षस्यः"
स्यते॑,ते॒ स्यः,स्यते॑,स्यते॑ ते॒ स्यः स्यते॑ ।,"स्यते॑ते॒स्यस्स्यते॑, स्यते॑ते॒स्यः  स्यते॑"
ते॒त॒न्वः॑,त॒न्वः॑ ते॒,ते॒त॒न्वः॑,ते॒त॒न्वः॑ त॒न्वः॑ ते॒ ते॒त॒न्वः॑ ।,ते॒त॒न्वः॑त॒न्वः॑ते॒ते॒त॒न्वः॑
त॒न्वो॑नृम्ण॒वर्ध॑नः,नृ॒म्ण॒ऽवर्ध॑नः त॒न्वः॑,त॒न्वो॑नृम्ण॒वर्ध॑नः,त॒न्वो॑नृम्ण॒वर्ध॑नः नृ॒म्ण॒ऽवर्ध॑नः त॒न्वः॑ त॒न्वो॑नृम्ण॒वर्ध॑नः ।,त॒न्वो॑नृम्ण॒वर्ध॑नो नृ॒म्ण॒ऽवर्ध॑नस्त॒न्वः॑त॒न्वो॑नृम्ण॒वर्ध॑नः
नृ॒म्ण॒वर्ध॑न॒स्सहः॑,सहः॑ नृ॒म्ण॒ऽवर्ध॑नः,नृ॒म्ण॒वर्ध॑न॒स्सहः॑,नृ॒म्ण॒वर्ध॑न॒स्सहः॑ सहः॑ नृ॒म्ण॒ऽवर्ध॑नः नृ॒म्ण॒वर्ध॑न॒स्सहः॑ ।,नृ॒म्ण॒वर्ध॑न॒स्सहः॑सहः॑नृ॒म्ण॒ऽवर्ध॑नो नृ॒म्ण॒वर्ध॑न॒स्सहः॑
नृ॒म्ण॒वर्ध॑न॒इति॑नृ॒म्ण॒bऽवर्ध॑नः,,,नृ॒म्ण॒वर्ध॑न॒इति॑नृ॒म्ण॒ऽवर्ध॑नः ।,नृ॒म्ण॒वर्ध॑न॒इति॑नृ॒म्ण॒ऽवर्ध॑नः
सह॒ओजः॑,ओजः॑ सहः॑,सह॒ओजः॑,सह॒ओजः॑ ओजः॑ सहः॑ सह॒ओजः॑ ।,सह॒ओजः॑ओजः॑सहः॑सह॒ओजः॑
ओजः॑प्र॒दिवि॑,प्र॒ऽदिवि॑ ओजः॑,ओजः॑प्र॒दिवि॑,ओजः॑प्र॒दिवि॑ प्र॒ऽदिवि॑ ओजः॑ ओजः॑प्र॒दिवि॑ ।,ओजः॑प्र॒दिवि॑प्र॒ऽदिवि॑ओजः॑ओजः॑प्र॒दिवि॑
प्र॒दिवि॑बा॒ह्वोः,बा॒ह्वोः प्र॒ऽदिवि॑,प्र॒दिवि॑बा॒ह्वोः,प्र॒दिवि॑बा॒ह्वोः बा॒ह्वोः प्र॒ऽदिवि॑ प्र॒दिवि॑बा॒ह्वोः ।,प्र॒दिवि॑बा॒ह्वोर्बा॒ह्वोः  प्र॒ऽदिवि॑प्र॒दिवि॑बा॒ह्वोः
प्र॒दिवीति॑प्र॒bऽदिवि॑,,,प्र॒दिवीति॑प्र॒ऽदिवि॑ ।,प्र॒दिवीति॑प्र॒ऽदिवि॑
बा॒ह्वोर्हि॒तः,हि॒तः बा॒ह्वोः,बा॒ह्वोर्हि॒तः,बा॒ह्वोर्हि॒तः हि॒तः बा॒ह्वोः बा॒ह्वोर्हि॒तः ।,बा॒ह्वोर्हि॒तो हि॒तो बा॒ह्वोर्बा॒ह्वोर्हि॒तः
हि॒तइति॑हि॒तःb॥,,,हि॒तइति॑हि॒तः॥ ,हि॒तइति॑हि॒तः
तुभ्यं॑सु॒तः,सु॒तः तुभ्य॑म्,तुभ्यं॑सु॒तः,तुभ्यं॑सु॒तः सु॒तः तुभ्य॑म् तुभ्यं॑सु॒तः ।,"तुभ्यं॑सु॒तस्सु॒तस्तुभ्य॑न्तुभ्यं॑सु॒तः, तुभ्यं॑सु॒तस्सु॒तस्तुभ्य॑ं  तुभ्यं॑सु॒तः, तुभ्यं॑सु॒तः  सु॒तस्तुभ्य॑न्तुभ्यं॑सु॒तः, तुभ्यं॑सु॒तः  सु॒तस्तुभ्य॑ं  तुभ्यं॑सु॒तः"
सु॒तोम॑घवन्,म॒घ॒ऽव॒न् सु॒तः,सु॒तोम॑घवन्,सु॒तोम॑घवन् म॒घ॒ऽव॒न् सु॒तः सु॒तोम॑घवन् ।,"सु॒तोम॑घवन्म॒घ॒ऽव॒न्त्सु॒तस्सु॒तोम॑घवन्, सु॒तोम॑घवन्म॒घ॒ऽव॒न्त्सु॒तः  सु॒तोम॑घवन्, सु॒तोम॑घवन्म॒घ॒ऽव॒न्सु॒तस्सु॒तोम॑घवन्, सु॒तोम॑घवन्म॒घ॒ऽव॒न्सु॒तः  सु॒तोम॑घवन्"
म॒घ॒व॒न्तुभ्य॑म्,तुभ्य॑म् म॒घ॒ऽव॒न्,म॒घ॒व॒न्तुभ्य॑म्,म॒घ॒व॒न्तुभ्य॑म् तुभ्य॑म् म॒घ॒ऽव॒न् म॒घ॒व॒न्तुभ्य॑म् ।,"म॒घ॒व॒न्तुभ्य॑न्तुभ्य॑म्म॒घ॒ऽव॒न्म॒घ॒व॒न्तुभ्य॑म्, म॒घ॒व॒न्तुभ्य॑न्तुभ्य॑ं  म॒घ॒ऽव॒न्म॒घ॒व॒न्तुभ्य॑म्, म॒घ॒व॒न्तुभ्य॑ं  तुभ्य॑म्म॒घ॒ऽव॒न्म॒घ॒व॒न्तुभ्य॑म्, म॒घ॒व॒न्तुभ्य॑ं  तुभ्य॑ं  म॒घ॒ऽव॒न्म॒घ॒व॒न्तुभ्य॑म्"
म॒घ॒व॒न्निति॑मघbऽवन्,,,म॒घ॒व॒न्निति॑मघऽवन् ।,म॒घ॒व॒न्निति॑मघऽवन्
तुभ्य॒माभृ॑तः,आऽभृ॑तः तुभ्य॑म्,तुभ्य॒माभृ॑तः,तुभ्य॒माभृ॑तः आऽभृ॑तः तुभ्य॑म् तुभ्य॒माभृ॑तः ।,"तुभ्य॒माभृ॑त  आऽभृ॑तस्तुभ्य॑न्तुभ्य॒माभृ॑तः, तुभ्य॒माभृ॑त  आऽभृ॑तस्तुभ्य॑ं  तुभ्य॒माभृ॑तः, तुभ्य॒माभृ॑तयाऽभृ॑तस्तुभ्य॑न्तुभ्य॒माभृ॑तः, तुभ्य॒माभृ॑तयाऽभृ॑तस्तुभ्य॑ं  तुभ्य॒माभृ॑तः"
आभृ॑त॒स्त्‍वम्,त्वम् आऽभृ॑तः,आभृ॑त॒स्त्‍वम्,आभृ॑त॒स्त्‍वम् त्वम् आऽभृ॑तः आभृ॑त॒स्त्‍वम् ।,"आभृ॑त॒स्त्‍वन्त्वमाऽभृ॑त  आभृ॑त॒स्त्‍वम्, आभृ॑त॒स्त्‍वन्त्वमाऽभृ॑तयाभृ॑त॒स्त्‍वम्, आभृ॑त॒स्त्‍वं  त्वमाऽभृ॑त  आभृ॑त॒स्त्‍वम्, आभृ॑त॒स्त्‍वं  त्वमाऽभृ॑तयाभृ॑त॒स्त्‍वम्"
आभृ॑त॒इत्याbऽभृ॑तः,,,आभृ॑त॒इत्याऽभृ॑तः ।,आभृ॑त॒इत्याऽभृ॑तः
त्‍वम॑स्य,अ॒स्य॒ त्वम्,त्‍वम॑स्य,त्‍वम॑स्य अ॒स्य॒ त्वम् त्‍वम॑स्य ।,"त्‍वम॑स्या॒स्य॒त्वन्त्‍वम॑स्य, त्‍वम॑स्या॒स्य॒त्वं  त्‍वम॑स्य"
अ॒स्य॒ब्राह्म॑णात्,ब्राह्म॑णात् अ॒स्य॒,अ॒स्य॒ब्राह्म॑णात्,अ॒स्य॒ब्राह्म॑णात् ब्राह्म॑णात् अ॒स्य॒ अ॒स्य॒ब्राह्म॑णात् ।,अ॒स्य॒ब्राह्म॑णाद्ब्राह्म॑णाद॒स्य॒अ॒स्य॒ब्राह्म॑णात्
ब्राह्म॑णा॒दातृ॒पत्,तृ॒पत् आ ब्राह्म॑णात्,ब्राह्म॑णा॒दातृ॒पत्,ब्राह्म॑णा॒दातृ॒पत् तृ॒पत् आ ब्राह्म॑णात् ब्राह्म॑णा॒दातृ॒पत् ।,ब्राह्म॑णा॒दातृ॒पत्तृ॒पदाब्राह्म॑णाद्ब्राह्म॑णा॒दातृ॒पत्
आतृ॒पत्b,,,आतृ॒पत् ।,आतृ॒पत्
तृ॒पत्पि॑ब,पि॒ब॒ तृ॒पत्,तृ॒पत्पि॑ब,तृ॒पत्पि॑ब पि॒ब॒ तृ॒पत् तृ॒पत्पि॑ब ।,तृ॒पत्पि॑बपि॒ब॒तृ॒पत्तृ॒पत्पि॑ब
पि॒बेति॑पिबb॥५b॥,,,पि॒बेति॑पिब॥५॥ ,पि॒बेति॑पिब
जु॒षेथां॑य॒ज्ञम्,य॒ज्ञम् जु॒षेथा॑म्,जु॒षेथां॑य॒ज्ञम्,जु॒षेथां॑य॒ज्ञम् य॒ज्ञम् जु॒षेथा॑म् जु॒षेथां॑य॒ज्ञम् ।,"जु॒षेथां॑य॒ज्ञँय॒ज्ञञ्जु॒षेथा॑ञ्जु॒षेथां॑य॒ज्ञम्, जु॒षेथां॑य॒ज्ञँय॒ज्ञञ्जु॒षेथा॑ं  जु॒षेथां॑य॒ज्ञम्, जु॒षेथां॑य॒ज्ञँय॒ज्ञं  जु॒षेथा॑ञ्जु॒षेथां॑य॒ज्ञम्, जु॒षेथां॑य॒ज्ञँय॒ज्ञं  जु॒षेथा॑ं  जु॒षेथां॑य॒ज्ञम्, जु॒षेथां॑य॒ज्ञं  य॒ज्ञञ्जु॒षेथा॑ञ्जु॒षेथां॑य॒ज्ञम्, जु॒षेथां॑य॒ज्ञं  य॒ज्ञञ्जु॒षेथा॑ं  जु॒षेथां॑य॒ज्ञम्, जु॒षेथां॑य॒ज्ञं  य॒ज्ञं  जु॒षेथा॑ञ्जु॒षेथां॑य॒ज्ञम्, जु॒षेथां॑य॒ज्ञं  य॒ज्ञं  जु॒षेथा॑ं  जु॒षेथां॑य॒ज्ञम्"
य॒ज्ञंबोध॑तम्,बोध॑तम् य॒ज्ञम्,य॒ज्ञंबोध॑तम्,य॒ज्ञंबोध॑तम् बोध॑तम् य॒ज्ञम् य॒ज्ञंबोध॑तम् ।,"य॒ज्ञंबोध॑तम्बोध॑तँय॒ज्ञँय॒ज्ञंबोध॑तम्, य॒ज्ञंबोध॑तम्बोध॑तँय॒ज्ञं  य॒ज्ञंबोध॑तम्, य॒ज्ञंबोध॑तम्बोध॑तं  य॒ज्ञँय॒ज्ञंबोध॑तम्, य॒ज्ञंबोध॑तम्बोध॑तं  य॒ज्ञं  य॒ज्ञंबोध॑तम्, य॒ज्ञंबोध॑तं  बोध॑तँय॒ज्ञँय॒ज्ञंबोध॑तम्, य॒ज्ञंबोध॑तं  बोध॑तँय॒ज्ञं  य॒ज्ञंबोध॑तम्, य॒ज्ञंबोध॑तं  बोध॑तं  य॒ज्ञँय॒ज्ञंबोध॑तम्, य॒ज्ञंबोध॑तं  बोध॑तं  य॒ज्ञं  य॒ज्ञंबोध॑तम्"
बोध॑तं॒हव॑स्य,हव॑स्य बोध॑तम्,बोध॑तं॒हव॑स्य,बोध॑तं॒हव॑स्य हव॑स्य बोध॑तम् बोध॑तं॒हव॑स्य ।,"बोध॑तं॒हव॑स्यहव॑स्यबोध॑तम्बोध॑तं॒हव॑स्य, बोध॑तं॒हव॑स्यहव॑स्यबोध॑तं  बोध॑तं॒हव॑स्य"
हव॑स्यमे,मे॒ हव॑स्य,हव॑स्यमे,हव॑स्यमे मे॒ हव॑स्य हव॑स्यमे ।,हव॑स्यमेमे॒हव॑स्यहव॑स्यमे
मे॒स॒त्तः,स॒त्तः मे॒,मे॒स॒त्तः,मे॒स॒त्तः स॒त्तः मे॒ मे॒स॒त्तः ।,"मे॒स॒त्तस्स॒त्तो मे॒मे॒स॒त्तः, मे॒स॒त्तः  स॒त्तो मे॒मे॒स॒त्तः"
स॒त्तोहोता॑,होता॑ स॒त्तः,स॒त्तोहोता॑,स॒त्तोहोता॑ होता॑ स॒त्तः स॒त्तोहोता॑ ।,"स॒त्तोहोता॑होता॑स॒त्तस्स॒त्तोहोता॑, स॒त्तोहोता॑होता॑स॒त्तः  स॒त्तोहोता॑"
होता॑नि॒विदः॑,नि॒ऽविदः॑ होता॑,होता॑नि॒विदः॑,होता॑नि॒विदः॑ नि॒ऽविदः॑ होता॑ होता॑नि॒विदः॑ ।,होता॑नि॒विदः॑नि॒ऽविदः॑होता॑होता॑नि॒विदः॑
नि॒विदः॑पू॒र्व्याः,पू॒र्व्याः नि॒ऽविदः॑,नि॒विदः॑पू॒र्व्याः,नि॒विदः॑पू॒र्व्याः पू॒र्व्याः नि॒ऽविदः॑ नि॒विदः॑पू॒र्व्याः ।,नि॒विदः॑पू॒र्व्याः  पू॒र्व्या नि॒ऽविदः॑नि॒विदः॑पू॒र्व्याः
नि॒विद॒इति॑नि॒bऽविदः॑,,,नि॒विद॒इति॑नि॒ऽविदः॑ ।,नि॒विद॒इति॑नि॒ऽविदः॑
