bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
प्र॒शा॒स्त्रमिति॑प्र॒bऽशा॒स्त्रम्,,,प्र॒शा॒स्त्रमिति॑प्र॒ऽशा॒स्त्रम् ।,प्र॒शा॒स्त्रमिति॑प्र॒ऽशा॒स्त्रम्
त्‍वम॑ध्वरीयसि,अ॒ध्व॒रि॒ऽय॒सि॒ त्वम्,त्‍वम॑ध्वरीयसि,त्‍वम॑ध्वरीयसि अ॒ध्व॒रि॒ऽय॒सि॒ त्वम् त्‍वम॑ध्वरीयसि ।,"त्‍वम॑ध्वरीयस्य॒ध्व॒रि॒ऽय॒सि॒त्वन्त्‍वम॑ध्वरीयसि, त्‍वम॑ध्वरीयस्य॒ध्व॒रि॒ऽय॒सि॒त्वं  त्‍वम॑ध्वरीयसि"
अ॒ध्व॒री॒य॒सि॒ब्र॒ह्मा,ब्र॒ह्मा अ॒ध्व॒रि॒ऽय॒सि॒,अ॒ध्व॒री॒य॒सि॒ब्र॒ह्मा,अ॒ध्व॒री॒य॒सि॒ब्र॒ह्मा ब्र॒ह्मा अ॒ध्व॒रि॒ऽय॒सि॒ अ॒ध्व॒री॒य॒सि॒ब्र॒ह्मा ।,अ॒ध्व॒री॒य॒सि॒ब्र॒ह्माब्र॒ह्मा॒ध्व॒रि॒ऽय॒सि॒अ॒ध्व॒री॒य॒सि॒ब्र॒ह्मा
अ॒ध्व॒रि॒य॒सीत्य॑ध्वरिbऽयसि,,,अ॒ध्व॒रि॒य॒सीत्य॑ध्वरिऽयसि ।,अ॒ध्व॒रि॒य॒सीत्य॑ध्वरिऽयसि
ब्र॒ह्माच॑,च॒ ब्र॒ह्मा,ब्र॒ह्माच॑,ब्र॒ह्माच॑ च॒ ब्र॒ह्मा ब्र॒ह्माच॑ ।,ब्र॒ह्माच॑च॒ब्र॒ह्माब्र॒ह्माच॑
चासि॑,असि॑ च॒,चासि॑,चासि॑ असि॑ च॒ चासि॑ ।,चासि॑असि॑च॒चासि॑
असि॑गृ॒हप॑तिः,गृ॒हऽप॑तिः असि॑,असि॑गृ॒हप॑तिः,असि॑गृ॒हप॑तिः गृ॒हऽप॑तिः असि॑ असि॑गृ॒हप॑तिः ।,असि॑गृ॒हप॑तिर्गृ॒हऽप॑तिरसि॑असि॑गृ॒हप॑तिः
गृ॒हप॑तिश्च,च॒ गृ॒हऽप॑तिः,गृ॒हप॑तिश्च,गृ॒हप॑तिश्च च॒ गृ॒हऽप॑तिः गृ॒हप॑तिश्च ।,गृ॒हप॑तिश्चच॒गृ॒हऽप॑तिर्गृ॒हप॑तिश्च
गृ॒हप॑ति॒रिति॑गृ॒हbऽप॑तिः,,,गृ॒हप॑ति॒रिति॑गृ॒हऽप॑तिः ।,गृ॒हप॑ति॒रिति॑गृ॒हऽप॑तिः
च॒नः॒,नः॒ च॒,च॒नः॒,च॒नः॒ नः॒ च॒ च॒नः॒ ।,च॒नः॒नः॒च॒च॒नः॒
नो॒दमे॑,दमे॑ नः॒,नो॒दमे॑,नो॒दमे॑ दमे॑ नः॒ नो॒दमे॑ ।,नो॒दमे॑दमे॑नः॒नो॒दमे॑
दम॒इति॒दमे॑b॥२b॥,,,दम॒इति॒दमे॑॥२॥ ,दम॒इति॒दमे॑
त्‍वम॑ग्ने,अ॒ग्ने॒ त्वम्,त्‍वम॑ग्ने,त्‍वम॑ग्ने अ॒ग्ने॒ त्वम् त्‍वम॑ग्ने ।,"त्‍वम॑ग्नेऽ॒ग्ने॒त्वन्त्‍वम॑ग्ने, त्‍वम॑ग्नेऽ॒ग्ने॒त्वं  त्‍वम॑ग्ने"
अ॒ग्न॒इन्द्रः॑,इन्द्रः॑ अ॒ग्ने॒,अ॒ग्न॒इन्द्रः॑,अ॒ग्न॒इन्द्रः॑ इन्द्रः॑ अ॒ग्ने॒ अ॒ग्न॒इन्द्रः॑ ।,अ॒ग्न॒इन्द्रः॑इन्द्रः॑अ॒ग्ने॒अ॒ग्न॒इन्द्रः॑
इन्द्रो॑वृष॒भः,वृ॒ष॒भः इन्द्रः॑,इन्द्रो॑वृष॒भः,इन्द्रो॑वृष॒भः वृ॒ष॒भः इन्द्रः॑ इन्द्रो॑वृष॒भः ।,"इन्द्रो॑वृष॒भो वृ॒ष॒भ  इन्द्रः॑इन्द्रो॑वृष॒भः, इन्द्रो॑वृष॒भो वृ॒ष॒भयिन्द्रः॑इन्द्रो॑वृष॒भः"
